117.0,109.0,93.0,92.0,95.0,87.0,88.0,79.0,92.0,70.0,58.0,74.0,59.0,55.0,56.0,62.0,58.0,56.0,44.0,38.0
108.0,116.0,83.0,83.0,82.0,75.0,78.0,74.0,84.0,52.0,83.0,60.0,63.0,44.0,48.0,49.0,51.0,39.0,50.0,36.0
109.0,90.0,108.0,99.0,99.0,98.0,80.0,71.0,65.0,82.0,77.0,63.0,60.0,62.0,53.0,39.0,54.0,52.0,40.0,53.0
120.0,82.0,87.0,96.0,101.0,91.0,63.0,81.0,68.0,58.0,72.0,65.0,50.0,56.0,63.0,56.0,51.0,40.0,37.0,40.0
109.0,125.0,95.0,94.0,82.0,74.0,68.0,66.0,79.0,59.0,66.0,71.0,65.0,55.0,69.0,48.0,53.0,42.0,59.0,36.0
109.0,109.0,86.0,93.0,78.0,78.0,72.0,76.0,65.0,70.0,67.0,65.0,62.0,51.0,57.0,61.0,45.0,46.0,32.0,49.0
129.0,84.0,72.0,90.0,91.0,85.0,75.0,78.0,62.0,71.0,86.0,64.0,79.0,50.0,57.0,49.0,48.0,39.0,38.0,47.0
124.0,99.0,117.0,95.0,99.0,101.0,85.0,78.0,72.0,66.0,53.0,61.0,55.0,57.0,52.0,52.0,54.0,49.0,44.0,52.0
118.0,92.0,117.0,87.0,79.0,73.0,85.0,66.0,84.0,77.0,69.0,63.0,64.0,62.0,51.0,53.0,42.0,42.0,44.0,49.0
104.0,126.0,89.0,90.0,83.0,89.0,70.0,75.0,82.0,77.0,63.0,63.0,64.0,43.0,48.0,51.0,56.0,57.0,43.0,46.0
131.0,79.0,91.0,83.0,68.0,96.0,79.0,83.0,72.0,69.0,52.0,72.0,82.0,49.0,52.0,55.0,47.0,59.0,64.0,37.0
105.0,97.0,93.0,93.0,80.0,86.0,79.0,80.0,68.0,74.0,49.0,64.0,64.0,56.0,56.0,41.0,54.0,49.0,52.0,42.0
81.0,104.0,114.0,90.0,73.0,82.0,81.0,81.0,88.0,82.0,70.0,63.0,68.0,70.0,51.0,64.0,59.0,34.0,40.0,46.0
124.0,111.0,95.0,94.0,98.0,76.0,84.0,80.0,72.0,76.0,63.0,73.0,62.0,54.0,47.0,51.0,48.0,47.0,48.0,48.0
101.0,98.0,114.0,93.0,77.0,64.0,85.0,69.0,67.0,84.0,54.0,73.0,59.0,69.0,57.0,57.0,49.0,54.0,45.0,31.0
95.0,97.0,83.0,68.0,93.0,86.0,83.0,69.0,71.0,85.0,54.0,53.0,65.0,50.0,57.0,49.0,58.0,65.0,60.0,53.0
104.0,95.0,95.0,123.0,104.0,95.0,87.0,95.0,86.0,62.0,67.0,59.0,72.0,60.0,70.0,77.0,53.0,63.0,41.0,30.0
100.0,110.0,90.0,111.0,93.0,76.0,82.0,62.0,72.0,69.0,42.0,64.0,67.0,67.0,50.0,51.0,47.0,51.0,53.0,47.0
100.0,104.0,92.0,88.0,95.0,86.0,70.0,83.0,77.0,65.0,79.0,60.0,59.0,46.0,61.0,55.0,50.0,55.0,48.0,39.0
112.0,109.0,96.0,102.0,86.0,84.0,83.0,81.0,64.0,79.0,78.0,57.0,54.0,68.0,52.0,58.0,61.0,45.0,49.0,46.0
