"(-0.07146122092504117, 0.11928927271338946)","(-0.07150185391758292, 0.11995242940533168)","(-0.07214081133558224, 0.12009818461482888)","(-0.07229739334298366, 0.12224787320503341)","(-0.07116104680964584, 0.12317642946696901)","(-0.07143368960883115, 0.11949774976687921)","(-0.0714160323038817, 0.1197840105353154)","(-0.07210057317448432, 0.12186437847209)","(-0.0706327855960857, 0.1184899204978301)","(-0.07304531306557517, 0.11760911495344452)"
"(-0.08179486369996777, 0.1394396587256576)","(-0.08146582574707008, 0.1346248839316469)","(-0.08259093081144105, 0.13280316115868362)","(-0.08171069780452585, 0.14059705447938747)","(-0.0822926291097478, 0.13526718286076977)","(-0.08142899859992014, 0.1351394807306654)","(-0.08212308086429432, 0.13704349353279155)","(-0.08191059431427913, 0.13732126268629724)","(-0.08187043324842418, 0.13500751412848855)","(-0.08206885147096207, 0.1340042896708594)"
"(-0.09400343991095794, 0.1502339310358971)","(-0.09320135895654728, 0.1538761164415875)","(-0.09367069105135827, 0.15072359048839065)","(-0.09467597108436633, 0.1503028369236665)","(-0.09450870485367557, 0.14455374379132566)","(-0.09455083183820136, 0.15369464095981478)","(-0.09295808634960628, 0.1500591177956108)","(-0.0934208250781284, 0.14882382148438889)","(-0.09314081123573992, 0.14987244101329467)","(-0.09418913323520997, 0.1504421905058098)"
"(-0.10518466502159238, 0.1735794387825239)","(-0.10682640175785768, 0.16902183225587875)","(-0.10544734408216032, 0.17123130653537796)","(-0.10597236935539968, 0.170299987541354)","(-0.10658398720589808, 0.16688249465062013)","(-0.10561887379280797, 0.16882086263423113)","(-0.10646665515915278, 0.16738958006004526)","(-0.10518133819848353, 0.16953880364217844)","(-0.10566940335273857, 0.1694327065739242)","(-0.1065045232615373, 0.17117561085267904)"
"(-0.12110726219224094, 0.18850013195691184)","(-0.12069550935988772, 0.197378891474496)","(-0.12070043710501477, 0.19313159282902012)","(-0.12010010792860999, 0.18637044592346036)","(-0.12148797039872603, 0.18985973894617206)","(-0.11985683945110025, 0.18807662017747245)","(-0.1214026555804233, 0.19192115208361893)","(-0.12091407372886849, 0.1862469033787765)","(-0.1199819527822576, 0.19047899887918215)","(-0.12049790278116297, 0.1869308826954593)"
"(-0.13660693018987408, 0.2126504151250328)","(-0.13671033933561044, 0.21196518964262243)","(-0.13802095153854532, 0.20774047309830468)","(-0.13788877358244608, 0.2094699210884827)","(-0.13837310468018427, 0.20882859386535593)","(-0.1374594277000968, 0.21249513492837016)","(-0.13687569074525785, 0.2109915618579406)","(-0.13803658628820076, 0.2109375594021186)","(-0.1378522100450674, 0.210170308773048)","(-0.13646328474054412, 0.21004060985824913)"
"(-0.15592755557243737, 0.23796473161234732)","(-0.1571763858543195, 0.23972156359381327)","(-0.15475950889193113, 0.24452452759366122)","(-0.15635222143770078, 0.2436583604846807)","(-0.15547026167319392, 0.23722783796178362)","(-0.1560430752392331, 0.23591552152010212)","(-0.1545797614063306, 0.23555644253871583)","(-0.1565074556040804, 0.23785934123508326)","(-0.1560198668347355, 0.24184775236371592)","(-0.15504941651466803, 0.23738543295872305)"
"(-0.17590094440792545, 0.2680209003673946)","(-0.17638439666428485, 0.2732184632463833)","(-0.17822442918768944, 0.26885026809385476)","(-0.17785119685876757, 0.2623811464591963)","(-0.17511632793262638, 0.2669986508145585)","(-0.17670237854370238, 0.2673619924420303)","(-0.1773968192171128, 0.26297892556080726)","(-0.17728929539585458, 0.2671073722789676)","(-0.1757281462540132, 0.266219938511479)","(-0.17688345413092907, 0.2600596246288333)"
"(-0.1982924921692585, 0.30420932553456975)","(-0.19837972457992437, 0.2928191045335863)","(-0.2003701099613356, 0.29736673830946286)","(-0.1986413839537347, 0.29475095339918994)","(-0.1996106329847728, 0.29520629304096196)","(-0.20190076093745393, 0.30237805562106673)","(-0.2010289085921682, 0.3031014441952586)","(-0.201340121902299, 0.29716954999488016)","(-0.20186705375760297, 0.3020427611902654)","(-0.20116561990007695, 0.2961044004494254)"
"(-0.22632182557296446, 0.3325944839749226)","(-0.22667842322097612, 0.34001813091240624)","(-0.2279496786990006, 0.34007561226406313)","(-0.2277606746233133, 0.33499450125705393)","(-0.22694624968597574, 0.34015186844780887)","(-0.2261227499224149, 0.339771365695588)","(-0.22562766617465685, 0.33687815269585847)","(-0.2265374288644097, 0.3338315036149365)","(-0.22600245934549157, 0.33688798542896004)","(-0.22729929181730535, 0.3394473856523893)"
"(-0.25414620161265866, 0.3773098330954578)","(-0.2583904628031454, 0.37458838644064163)","(-0.25832386727714934, 0.3685544408034668)","(-0.2564589971450273, 0.37744493082625935)","(-0.2570247236205092, 0.37567808082595516)","(-0.2561030121528883, 0.38066935940150765)","(-0.25809325078478385, 0.3818112728536155)","(-0.2592951808538733, 0.3788935126775285)","(-0.25562560907284504, 0.3776506785814274)","(-0.2545260516953908, 0.374519435520803)"
"(-0.2909467321193619, 0.42586099139668837)","(-0.28882171890390773, 0.4310216152351806)","(-0.28818183833026545, 0.4224620042403467)","(-0.28913402127430576, 0.42474793988928183)","(-0.28844150452336487, 0.41587305548988446)","(-0.29137097219848995, 0.42256682361282577)","(-0.2894621669140622, 0.4144021515526325)","(-0.2894562466842085, 0.4151233620405105)","(-0.2910844236260481, 0.42168125818215796)","(-0.28807300939986913, 0.42844126821776796)"
"(-0.32869693364679753, 0.4738567100717224)","(-0.3287755666312917, 0.4720574369322111)","(-0.32728723062843, 0.46826061176018574)","(-0.3270041704832025, 0.4667574247365562)","(-0.32980822360859763, 0.4811704683535677)","(-0.3250534613048515, 0.4746888766546509)","(-0.3307109047590214, 0.47892487925751664)","(-0.3282278065227087, 0.47811834178833873)","(-0.32952344908166353, 0.47457446228105776)","(-0.3284214027143152, 0.48544529489018)"
"(-0.37125712641771436, 0.5400522894336)","(-0.37054903267677847, 0.5460439837836)","(-0.36960737919746167, 0.5348454490634533)","(-0.368392434610721, 0.5313719681742121)","(-0.3701029158396526, 0.5392668109543034)","(-0.37024860522746506, 0.5360384619238363)","(-0.37140627901629203, 0.542366669770414)","(-0.3681806109153807, 0.5257196894763189)","(-0.36849752876132547, 0.546759076775013)","(-0.36847821296977823, 0.5348326539260571)"
"(-0.4197539812244349, 0.5931738882505881)","(-0.4128932002193775, 0.6014484307008994)","(-0.4196582719405451, 0.5990806305084803)","(-0.4217345557868179, 0.5965804703866922)","(-0.4159252618648705, 0.6129410436423406)","(-0.417439516120937, 0.6000926833380993)","(-0.41653058927771436, 0.5937016579930201)","(-0.41423378571446173, 0.5959929659072561)","(-0.4152372459615276, 0.6090805883708699)","(-0.41617148131033044, 0.6259104537382928)"
