"(-0.0864300433053485, 0.05110840671468414)","(-0.08625241245657235, 0.051801364212663924)","(-0.08612657191244644, 0.05235139714260641)","(-0.08584893540595975, 0.05236930913996758)","(-0.0862300742308013, 0.05275224956758788)"
"(-0.09324693976982973, 0.05316189632360302)","(-0.09291203626442882, 0.053620759483718396)","(-0.09310701483646334, 0.05394425008537719)","(-0.09322630358634441, 0.05339645921812195)","(-0.09284482126747086, 0.05384782653887758)"
"(-0.10051633798337062, 0.05603885890390566)","(-0.10043538689584744, 0.05462473520726083)","(-0.10022989188009927, 0.054159152537441)","(-0.10121873542599294, 0.05523369776281896)","(-0.10011942138767997, 0.05608590172243028)"
"(-0.10792923275651094, 0.05788156337185342)","(-0.10835845129154381, 0.057239253493925335)","(-0.10889282689303559, 0.05695500703260906)","(-0.10826458708162577, 0.05805600605202273)","(-0.10832850731501824, 0.05846612429097507)"
"(-0.11705907586377737, 0.058864876505347774)","(-0.11684143650646911, 0.058062173627792125)","(-0.11679734763698892, 0.05913258465342412)","(-0.11714197430817094, 0.05906986419915792)","(-0.11714587217528838, 0.05978602741466461)"
"(-0.12613887241781124, 0.061627654682797635)","(-0.12593126659332624, 0.06073110619750509)","(-0.12663720112716337, 0.06103295006379158)","(-0.12614740731592156, 0.06040441391449589)","(-0.12599952764664737, 0.061160915820409)"
"(-0.13565031391756607, 0.062267931380223504)","(-0.1358894065077301, 0.061461201373079276)","(-0.1362291311466202, 0.062066256319831106)","(-0.13573043405496685, 0.06327403746345485)","(-0.13562979242934545, 0.062318064149479206)"
"(-0.14597791345900668, 0.06412963917996918)","(-0.14680039365672964, 0.06468859860403968)","(-0.14672614347124308, 0.06310704245070423)","(-0.146459195167969, 0.06361147821456507)","(-0.14655972587294086, 0.06370002209865103)"
"(-0.1573079728770461, 0.06642962658070996)","(-0.15771931906099007, 0.06511840168050607)","(-0.15774787650242744, 0.06619859207291766)","(-0.15760089431982102, 0.06517936066772678)","(-0.15758007392751291, 0.0646753534344648)"
"(-0.16999971951410936, 0.06723721797337022)","(-0.16958201565365652, 0.06707367580415041)","(-0.17021828067823666, 0.06618742366861495)","(-0.169745912983441, 0.06748680654157564)","(-0.17026371043480149, 0.06833258958929027)"
"(-0.18304206176989918, 0.06871419966658388)","(-0.18344454636962568, 0.06862420918579476)","(-0.18315857569592384, 0.06880448886761015)","(-0.18244954894447493, 0.06756325297314343)","(-0.18302956086680705, 0.06778983279307423)"
"(-0.19634145019972915, 0.0685959677450607)","(-0.19652171486209902, 0.07058288299681677)","(-0.19698849807778032, 0.07053094311395779)","(-0.19640677484869107, 0.06932982065528819)","(-0.1978098701712805, 0.06964762690833269)"
"(-0.21217578323335629, 0.07179795565802254)","(-0.2117273713832932, 0.07061912335376708)","(-0.2120779805137953, 0.07068807019725354)","(-0.2118281655807005, 0.07016844723740143)","(-0.2120610851047628, 0.0710064482219291)"
"(-0.2283008752467255, 0.07194570387471612)","(-0.22828054110412158, 0.0718511800932339)","(-0.2277993352134733, 0.07208721104214398)","(-0.22859918987536415, 0.07157203951221955)","(-0.22793185803615196, 0.07238176660856006)"
"(-0.24603663952344432, 0.07425149205498784)","(-0.24578192968965923, 0.07427324945755723)","(-0.24548252697722292, 0.07354403794619557)","(-0.24577450693266256, 0.07312797155174501)","(-0.2462424676669732, 0.07274382164836847)"
"(-0.2633373330283093, 0.07512691044609442)","(-0.26361124725593366, 0.07511626584432841)","(-0.26311495141843977, 0.07445066387304473)","(-0.2635080658446675, 0.07493413210297098)","(-0.263969276427592, 0.07462113069629656)"
"(-0.283570585057802, 0.0762341279934026)","(-0.2835207691533997, 0.07578248928206315)","(-0.28344603611599795, 0.0750219648571115)","(-0.282895137677515, 0.0755176922572519)","(-0.28366025941045053, 0.07604082910701329)"
"(-0.30457721252397424, 0.07720883925515008)","(-0.3039442171068108, 0.07818931190416432)","(-0.3050564973365333, 0.0772806777756758)","(-0.30481215312263077, 0.07645268867056344)","(-0.305036191272223, 0.07827531011869417)"
"(-0.32728987276733335, 0.07837264739385175)","(-0.3274988417845417, 0.0786632537000627)","(-0.326705730070589, 0.07842508379349808)","(-0.32690772292085085, 0.07888646693522089)","(-0.32747580717407065, 0.07816189039360442)"
"(-0.3516836236029398, 0.07912200602586494)","(-0.35186030279990066, 0.08038596748340812)","(-0.3517447770419898, 0.07977045241431535)","(-0.35107386308254107, 0.07993004442332635)","(-0.3512351038462748, 0.07922371831273813)"
"(-0.3767663386647118, 0.0818984324795305)","(-0.3767176251295548, 0.0824371465326933)","(-0.3773438767381556, 0.0829344757363405)","(-0.3773989712531459, 0.0835955120737349)","(-0.37721171257091035, 0.08255400767897128)"
"(-0.4043109043837696, 0.08602395537028987)","(-0.4043880625598541, 0.08512492454101578)","(-0.4039199795561154, 0.08548307866938461)","(-0.404299643351751, 0.0849962630742061)","(-0.40436603765165774, 0.08518949427503236)"
"(-0.4345296894010456, 0.08917708071291901)","(-0.43492138302310385, 0.08942166965865558)","(-0.4341710762287712, 0.0883865061617115)","(-0.43405377033639636, 0.08912707749884849)","(-0.4345680798754866, 0.08972985504968822)"
"(-0.4651253196165102, 0.09462097861731746)","(-0.46667452726592085, 0.09312129023250232)","(-0.46632143352113464, 0.09396576501491158)","(-0.4665471882286294, 0.0933180122515462)","(-0.46601269669622836, 0.0940702428812235)"
"(-0.4991579660273462, 0.10010571004246956)","(-0.4987780483307675, 0.09987575097421393)","(-0.4992548348321703, 0.10028743395923514)","(-0.5002123460268721, 0.09927120469241474)","(-0.5003038674981294, 0.10100596765659274)"
